Product ,Price,Sizes Available,Colour,Quantity,Location,Category,Collection,Fabric/Material,Description and Details
,,,,,,,,,
Baobab - Arlett Dress Saxe,"₹27,000",S,Light Blue,1,,Dress,,"80% Nylon, 20% Elastane. Lycra, figure-hugging fabric.","Crafted to elevate your resort wear collection, this dress combines a high-neck maxi design with alluring ruched details and waist cut-outs, embodying the essence of high-end fashion. Constructed from figure-hugging Lycra fabric, this dress enhances your beachside style with sophistication and allure."
Baobab - Magalenha Maxi Sea Dress,"₹26,800",M,Blue,1,,Dress,,"80% Nylon, 20% Elastane.Lycra, figure-hugging fabric.","Introducing the ""Magalenha Maxi Dress"" to elevate each beach wardrobe collection, this strapless maxi dress with ruched details, features a beautiful hardware shape detail to accentuate your neckline. From a stylish beach cover-up to a captivating outfit, this ruched maxi dress embodies high-end resort wear while combining glamour and conscious fashion."
Baobab - Kira Glossy Porcelain Dress,"₹27,000",M,Blue,1,,Dress,,"80% Nylon, 20% Elastane.Lycra, figure-hugging fabric.","An exquisite expression of elegance. Made from a lycra figure holding glossy fabric, this dress exudes timeless style. With its glossy fabric, flattering silhouette, adjustable back straps, and our ""Baobab Shape"" detail it's perfect for both casual beach walks and glamorous soirées. Experience the fusion of high-end fashion and sustainability with this captivating piece."
Baobab - Vittoria Liberty Dress,"₹27,000",S,Sea green,1,,Dress,,"80% Nylon, 20% Elastane.Lycra, figure-hugging fabric.","A true embodiment of elegant beauty. This ruched maxi dress radiates timeless style. Its figure holding shiny fabric, flattering silhouette, and charming cut-out details seamlessly combine casual beach walks with glamorous soirées. Immerse yourself in the enchanting fusion of high-end fashion and sustainability with this captivating masterpiece."
Baobab - Lia Perla Dress,"₹27,000",S,White,1,,Dress,,"80% Nylon, 20% Elastane.Lycra, figure-hugging fabric.","A true testament to elegant beauty. Carefully crafted with meticulous attention to detail, this one-shoulder dress with cutouts embodies timeless style. Its glossy fabric, flattering silhouette, and adjustable straps effortlessly blend casual beach walks with glamorous soirées."
Baobab - Sierra Dress,"₹21,000",S,Green,1,,Jacket,,"80% Nylon, 20% Elastane.Lycra, figure-hugging fabric.","A perfect deep-v mini dress with side knot detail, crafted with high-end and sustainable materials, that effortlessly combines style and sustainability. Its figure-hugging stretchy fabric, lively silhouette, and loud neckline that ties at the back make it the perfect statement piece. Elevate your beach attire with this glossy piece, designed to elevate your beach-to-bar looks."
Baobab - Cleo Pareo Sarong,"₹14,300",S,Multicolour,1,,Sarong,,"80% Nylon, 20% Elastane.Lycra, figure-hugging fabric.","A beach cover-up that captivates and belongs in your resort wear collection. Handcrafted with care using sustainable materials, this sarong-style mesh pareo with a charming knot detail gracefully enhances any bikini or a one-piece swimsuit. Elevate your beach experience with this eco-friendly and high-end piece, where style meets sustainability in perfect harmony."
Baobab - Mar Glory Dress,"₹24,650",M,Multicolour,1,,Dress,,"100% Polyester.Satin-like rigid fabric with a silky-smooth texture, not stretchy.","A beach cover-up that captivates and belongs in your resort wear collection. Made in a satin-like fabric, this sarong-style mini pareo with a charming knot detail gracefully enhances any bikini or one-piece. Elevate your beach experience with this eco-conscious and high-end mini skirt, where style meets sustainability in perfect harmony."
Baobab - Marea Mini Green Dress,"₹20,600",S,Green,1,,Dress,,"100% Polyester.Satin-like rigid fabric with a silky-smooth texture, not stretchy.","With its ethereal silhouette, satin-like fabric, and ombre print, this one-shoulder maxi dress makes the perfect day-to-night look. Crafted sustainably, this high-end piece harmonizes style and comfort with its lightweight fabric, open back, and inner slip dress. Let our best seller, ""Marea Dress,"" elevate your summer evenings."
Baobab - Magalenha Top,"₹8,500",M,Blue,1,,Tops,,"80% Nylon, 20% Elastane.Lycra, figure-hugging fabric.","This strapless top features ruched detailing and a U-shaped bust, creating a flattering and stylish silhouette."
Baobab - Amaral Perse Dress,"₹27,000",S,Lavendar,1,,Dress,,"80% Nylon, 20% Elastane.Lycra, figure-hugging fabric.","Designed to enhance your resort-wear collection, this cut-out glossy dress elevates your beach-to-bar looks. Made from a lycra figure holding glossy fabric, this balconette cut-out maxi dress embodies the essence of high-end resort wear."
Baobab - Luana Dress Ultramarine,"₹27,000",S,Blue,1,,Dress,,"80% Nylon, 20% Elastane.Lycra, figure-hugging fabric.","A true embodiment of elegant beauty. Crafted with meticulous attention to detail, this one-shoulder maxi dress radiates timeless style. Its lightweight fabric, flattering silhouette, and twisted top with two-toned detail on the back seamlessly combine casual beach walks with glamorous soirées. Immerse yourself in the enchanting fusion of high-end fashion and sustainability with this captivating masterpiece."
Baobab - Aluna Glossy Dress,"₹27,000",S,Blue,1,,Dress,,"80% Nylon, 20% Elastane.Lycra, figure-hugging fabric.","With its ethereal silhouette and glossy fabric, this one-shoulder maxi dress makes the perfect day-to-night look. Crafted sustainably, this high-end piece harmonizes style and comfort with its lightweight fabric, open back, and inner slip dress."
Baobab - Marte Stone Dress,"₹23,700",S,Grey,1,,Dress,,"80% Nylon, 20% Elastane.Lycra, figure-hugging fabric.","A mesh maxi dress with a front cut out. Fabricated with a figure-hugging stretchy glossy material, this long-sleeve dress features a bright color bandeau top to achieve an eclectic look. Enhance your beach wardrobe with this statement piece, designed to effortlessly elevate your beach-to-bar looks."
Baobab - Ada Limonchelo Dress,"₹28,350",M,Green,1,,Dress,,"80% Nylon, 20% Elastane.Lycra, figure-hugging fabric.","Crafted to elevate your resort wear collection, this dress combines a high-neck maxi design with alluring ruched details and waist cut-outs, embodying the essence of high-end fashion. Constructed from figure-hugging Lycra fabric, this dress enhances your beachside style with sophistication and allure."